name,state,city,county,ori,agency_type,sworn_officers,population_served,fiscal_year_start_month,notes
New York City Police Department,NY,New York,,,municipal,33000,8300000,7,
Chicago Police Department,IL,Chicago,,,municipal,11700,2700000,1,Chicago runs a calendar fiscal year
Los Angeles Police Department,CA,Los Angeles,,,municipal,8800,3900000,7,
Los Angeles County Sheriff's Department,CA,,Los Angeles,,county,9000,10000000,7,
Philadelphia Police Department,PA,Philadelphia,,,municipal,6000,1600000,7,
Houston Police Department,TX,Houston,,,municipal,5300,2300000,7,Houston uses a July fiscal year unlike most TX cities
Cook County Sheriff's Office,IL,,Cook,,county,5500,5200000,12,
Harris County Sheriff's Office,TX,,Harris,,county,4700,4700000,10,
Metropolitan Police Department,DC,Washington,,,municipal,3300,700000,10,
Dallas Police Department,TX,Dallas,,,municipal,3100,1300000,10,
Las Vegas Metropolitan Police Department,NV,Las Vegas,Clark,,municipal,3000,1600000,7,
Phoenix Police Department,AZ,Phoenix,,,municipal,2900,1600000,7,
Miami-Dade Police Department,FL,,Miami-Dade,,county,2900,2700000,10,
Detroit Police Department,MI,Detroit,,,municipal,2500,630000,7,
San Diego County Sheriff's Department,CA,,San Diego,,county,2500,3300000,7,
San Antonio Police Department,TX,San Antonio,,,municipal,2400,1500000,10,
Baltimore Police Department,MD,Baltimore,,,municipal,2300,570000,7,
Boston Police Department,MA,Boston,,,municipal,2100,650000,7,
Memphis Police Department,TN,Memphis,,,municipal,2000,630000,7,
Columbus Division of Police,OH,Columbus,,,municipal,1900,910000,1,
Honolulu Police Department,HI,Honolulu,,,municipal,1900,1000000,7,
San Francisco Police Department,CA,San Francisco,,,municipal,1900,810000,7,
Austin Police Department,TX,Austin,,,municipal,1800,970000,10,
San Diego Police Department,CA,San Diego,,,municipal,1800,1400000,7,
Charlotte-Mecklenburg Police Department,NC,Charlotte,Mecklenburg,,municipal,1800,900000,7,
Fort Worth Police Department,TX,Fort Worth,,,municipal,1700,960000,10,
Atlanta Police Department,GA,Atlanta,,,municipal,1600,500000,7,
Milwaukee Police Department,WI,Milwaukee,,,municipal,1600,570000,1,
Nashville Metropolitan Police Department,TN,Nashville,Davidson,,municipal,1500,690000,7,
Denver Police Department,CO,Denver,,,municipal,1500,710000,1,
Cleveland Division of Police,OH,Cleveland,,,municipal,1200,370000,1,
Kansas City Police Department,MO,Kansas City,,,municipal,1200,510000,5,
Newark Police Division,NJ,Newark,,,municipal,1100,310000,7,
Oklahoma City Police Department,OK,Oklahoma City,,,municipal,1100,690000,7,
Cincinnati Police Department,OH,Cincinnati,,,municipal,1000,310000,7,
Louisville Metro Police Department,KY,Louisville,Jefferson,,municipal,1000,630000,7,
St. Louis Metropolitan Police Department,MO,St. Louis,,,municipal,1000,300000,7,
Tampa Police Department,FL,Tampa,,,municipal,1000,390000,10,
Seattle Police Department,WA,Seattle,,,municipal,1000,750000,1,
New Orleans Police Department,LA,New Orleans,Orleans,,municipal,950,380000,1,
Jersey City Police Department,NJ,Jersey City,,,municipal,950,290000,7,
Albuquerque Police Department,NM,Albuquerque,,,municipal,900,560000,7,
Pittsburgh Bureau of Police,PA,Pittsburgh,,,municipal,850,300000,1,
Portland Police Bureau,OR,Portland,,,municipal,800,650000,7,
Tucson Police Department,AZ,Tucson,,,municipal,800,540000,7,
Fresno Police Department,CA,Fresno,,,municipal,800,540000,7,
Mesa Police Department,AZ,Mesa,,,municipal,800,500000,7,
Orlando Police Department,FL,Orlando,,,municipal,800,310000,10,
Sacramento Police Department,CA,Sacramento,,,municipal,700,520000,7,
Buffalo Police Department,NY,Buffalo,,,municipal,700,280000,7,
Minneapolis Police Department,MN,Minneapolis,,,municipal,600,430000,1,
