Department,Vendor Name,Description of Services,Contract Start,Term Thru,Not To Exceed Amount,Contract No,Renewal Options
Springfield Police Department,Tyler Technologies Inc,New World records management system annual license and support,07/01/2021,06/30/2028,"$2,450,000",PS-2021-014,2
Springfield Police Department,Tyler Technologies Inc,New World computer aided dispatch maintenance,07/01/2021,06/30/2028,"$1,900,000",PS-2021-015,2
Springfield Police Department,Axon Enterprise Inc,Body worn camera program and Evidence.com storage,01/01/2024,12/31/2028,"$1,750,000",PS-2024-002,1
Springfield Police Department,Flock Safety,License plate reader camera subscription 40 cameras,03/01/2025,02/28/2027,"$180,000",PS-2025-011,1
Springfield Police Department,ACME Paving LLC,Resurfacing of impound lot,05/01/2025,10/31/2025,"$310,000",PW-2025-088,0
Riverside County Sheriff's Office,CentralSquare Technologies,Enterprise public safety CAD and RMS suite,10/01/2020,09/30/2027,"$6,200,000",SO-20-441,1
Riverside County Sheriff's Office,Motorola Solutions Inc,ASTRO 25 radio system maintenance,10/01/2019,09/30/2029,"$14,000,000",SO-19-220,0
Riverside County Sheriff's Office,Mark43 Inc,Mobile data terminal field reporting software,01/01/2026,12/31/2029,"$980,000",SO-25-902,2
Lakeview Police Department,CODY Systems,Records management system hosted subscription,04/01/2023,03/31/2027,"$240,000",LPD-23-07,1
Lakeview Police Department,Utility Inc,BodyWorn camera program,06/01/2024,05/31/2027,"$320,000",LPD-24-03,1
Harborview Police Department,Versaterm,Computer aided dispatch and records management,07/01/2019,06/30/2026,"$3,100,000",HPD-19-55,0
Harborview Police Department,Hexagon Safety and Infrastructure,Mobile field reporting licenses,07/01/2022,06/30/2030,"$1,400,000",HPD-22-19,2
